n_nodes,n_edges,cpu_ms,gpu_ms,npu_ms,status
5000,50000,71.07,15.32,12.30,OK
5000,125000,146.30,28.98,12.50,OK
5000,200000,244.49,44.29,13.69,OK
5000,250000,331.61,59.19,13.21,OK
5000,300000,396.35,67.61,14.59,OK
5000,375000,None,80.77,14.55,OK
5000,500000,668.75,104.37,14.86,OK
10000,100000,113.56,34.01,24.80,OK
10000,250000,383.24,60.04,26.66,OK
10000,400000,846.80,99.04,26.56,OK
10000,500000,883.66,118.77,26.46,OK
10000,600000,1212.22,137.15,26.93,OK
10000,750000,1412.72,171.70,27.26,OK
10000,1000000,1575.33,217.15,27.48,OK
20000,200000,469.97,63.60,47.63,OK
20000,500000,839.53,127.08,52.31,OK
20000,800000,1059.13,193.17,54.36,OK
20000,1000000,3208.38,226.60,53.90,OK
20000,1200000,1528.69,261.21,50.42,OK
20000,1500000,4112.32,319.91,52.25,OK
20000,2000000,4596.03,421.85,48.11,OK
50000,500000,806.00,164.16,119.30,OK
50000,1250000,1784.13,314.27,133.90,OK
50000,2000000,2827.87,457.83,128.53,OK
50000,2500000,5196.53,-1,125.29,GPU_OOM
50000,3000000,4509.23,-1,130.28,GPU_OOM
50000,3750000,6884.57,-1,129.52,GPU_OOM
50000,5000000,7874.66,-1,124.43,GPU_OOM
80000,800000,1458.18,250.19,190.19,OK
80000,2000000,3682.82,500.00,198.40,OK
80000,3200000,4344.77,-1,185.06,GPU_OOM
80000,4000000,6860.90,-1,191.39,GPU_OOM
80000,4800000,8040.32,-1,198.02,GPU_OOM
80000,6000000,10764.98,-1,194.12,GPU_OOM
80000,8000000,11805.94,-1,200.41,GPU_OOM
100000,1000000,2110.00,315.82,227.07,OK
100000,2500000,3341.44,-1,238.31,GPU_OOM
100000,4000000,6529.02,-1,239.83,GPU_OOM
100000,5000000,8668.05,-1,225.31,GPU_OOM
100000,6000000,9724.92,-1,245.92,GPU_OOM
100000,7500000,10737.94,-1,237.64,GPU_OOM
100000,10000000,13085.47,-1,231.96,GPU_OOM